"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 18 21:39:49 UTC 2025","Wed Jun 18 21:39:52 UTC 2025","2838","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOwnerCnName","shouldDeclinedPaymentByCardWithOwnerCnName()",""
"passed","Wed Jun 18 21:35:27 UTC 2025","Wed Jun 18 21:35:28 UTC 2025","298","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithSpacesInYear","shouldDeclinedPaymentByCardWithSpacesInYear()",""
"failed","Wed Jun 18 21:37:00 UTC 2025","Wed Jun 18 21:37:11 UTC 2025","10313","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldWriteToDataBaseApprovedPaymentByCreditCard","shouldWriteToDataBaseApprovedPaymentByCreditCard()",""
"failed","Wed Jun 18 21:36:13 UTC 2025","Wed Jun 18 21:36:15 UTC 2025","2551","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithWordInMonth","shouldDeclinedPaymentByCardWithWordInMonth()",""
"passed","Wed Jun 18 21:38:04 UTC 2025","Wed Jun 18 21:38:04 UTC 2025","293","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOneNumInMonth","shouldDeclinedPaymentByCardWithOneNumInMonth()",""
"failed","Wed Jun 18 21:35:49 UTC 2025","Wed Jun 18 21:35:52 UTC 2025","2546","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithSpecialCharacterInYear","shouldDeclinedPaymentByCardWithSpecialCharacterInYear()",""
"passed","Wed Jun 18 21:37:24 UTC 2025","Wed Jun 18 21:37:24 UTC 2025","299","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithTwoNumInCVC","shouldDeclinedPaymentByCardWithTwoNumInCVC()",""
"failed","Wed Jun 18 21:36:55 UTC 2025","Wed Jun 18 21:36:57 UTC 2025","2616","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithOwnerByRusName","shouldDeclinedPaymentByCardWithOwnerByRusName()",""
"passed","Wed Jun 18 21:36:54 UTC 2025","Wed Jun 18 21:36:55 UTC 2025","300","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithSpacesInCVC","shouldDeclinedPaymentByCardWithSpacesInCVC()",""
"failed","Wed Jun 18 21:36:26 UTC 2025","Wed Jun 18 21:36:41 UTC 2025","15538","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldPaymentByValidCreditCardWithMaxValidCardOwner","shouldPaymentByValidCreditCardWithMaxValidCardOwner()",""
"passed","Wed Jun 18 21:37:25 UTC 2025","Wed Jun 18 21:37:25 UTC 2025","302","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithEmptyCVC","shouldDeclinedPaymentByCardWithEmptyCVC()",""
"failed","Wed Jun 18 21:39:53 UTC 2025","Wed Jun 18 21:40:08 UTC 2025","15431","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldPaymentByValidDebitCardWithMinValidCardOwner","shouldPaymentByValidDebitCardWithMinValidCardOwner()",""
"failed","Wed Jun 18 21:34:42 UTC 2025","Wed Jun 18 21:34:44 UTC 2025","2681","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithOwnerByLowerCase","shouldDeclinedPaymentByCardWithOwnerByLowerCase()",""
"failed","Wed Jun 18 21:37:56 UTC 2025","Wed Jun 18 21:37:59 UTC 2025","2540","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithEmptyYear","shouldDeclinedPaymentByCardWithEmptyYear()",""
"failed","Wed Jun 18 21:37:59 UTC 2025","Wed Jun 18 21:38:01 UTC 2025","2559","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithWordInYear","shouldDeclinedPaymentByCardWithWordInYear()",""
"passed","Wed Jun 18 21:37:47 UTC 2025","Wed Jun 18 21:37:56 UTC 2025","8701","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldPaymentByCardWithOwnerByDoubleSurname","shouldPaymentByCardWithOwnerByDoubleSurname()",""
"failed","Wed Jun 18 21:38:56 UTC 2025","Wed Jun 18 21:39:11 UTC 2025","15487","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithThreeNumInYear","shouldDeclinedPaymentByCardWithThreeNumInYear()",""
